!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	1086	1394	(杜)	1395	(杜)	觀自在菩薩如意輪瑜伽	唐 不空譯	1
	1952	1513	(輔)	1571	(馳)	觀自在菩薩如意輪咒課法	宋 仁岳撰	1
	1081	0318	(能)	0319	(能)	佛說觀自在菩薩如意心陀羅尼咒經	唐 義淨譯	1
				1656	(其)	觀自在菩薩如意心陀羅尼經略疏	清 續法述	2
	1037	0974	(斯)	0975	(斯)	觀自在菩薩說普賢陀羅尼經	唐 不空譯	1
	1041					觀自在菩薩心真言一印念誦法	唐 不空譯	1
	1623	1221	(匪)	1222	(匪)	觀總相論頌	陳那菩薩造　唐 義淨譯	1
	1331-j10					灌頂神策		1
	0218	0944	(夙)	0945	(夙)	灌頂王喻經	宋 施護等譯	1
						灌頂章句拔除過罪生死得度經	東晉 帛尸黎蜜多羅譯	1
	0695	0286	(知)	0287	(知)	佛說灌洗佛形像經	西晉 法炬譯	1
	0696	0287	(知)	0288	(知)	佛說摩訶剎頭經	西晉 聖堅譯	1
	0549	0933	(夙)	0934	(夙)	佛說光明童子因緣經	宋 施護譯	4
	0222	0004	(河)	0004	(河)	光讚經	西晉 竺法護譯	10
	1570	1181	(造)	1182	(造)	廣百論本	聖天菩薩造　唐 玄奘譯	1
	1571	1190	(廉)	1191	(廉)	大乘廣百論釋論	聖天菩薩本　護法菩薩釋　唐 玄奘譯	10
	0310-s49					廣博仙人會	唐 菩提流志譯	1
	0268	0154	(發)	0154	(發)	佛說廣博嚴淨不退轉輪經	宋 智嚴譯	6
	1006	0530	(念)	0531	(念)	廣大寶樓閣善住祕密陀羅尼經	唐 菩提流志譯	3
	1676	1368	(英)	1369	(英)	廣大發願頌	龍樹菩薩造　宋 施護等譯	1
	1116	0837	(盡)	0838	(盡)	廣大蓮華莊嚴曼拏羅滅一切罪陀羅尼經	宋 施護譯	1
	1113B					大慈大悲救苦觀世音自在王菩薩廣大圓滿無礙自在青頸大悲心陀羅尼	唐 不空譯	1
	2103	1473	(家-兵)	1473	(高-輦)	廣弘明集	唐 道宣撰	30
						廣品曆章	玄逸撰	30
	1664	1293	(疑)	1294	(疑)	廣釋菩提心論	蓮華戒菩薩造　宋 施護譯	4
	1613	1168	(投)	1169	(投)	大乘廣五蘊論	安慧菩薩造　唐 地婆訶羅譯	1
	0097	0582	(緣)	0583	(緣)	廣義法門經	陳 真諦譯	1
						歸戒要集	清 弘贊輯	3
						歸元直指集	明 宗本集	2
	0734	0670	(壁)	0671	(壁)	佛說鬼問目連經	後漢 安世高譯	1
	1262	0753	(當)	0754	(當)	佛說鬼子母經	失譯	1
	1934	1562	(弊)			國清百錄	隋 灌頂纂	4
	0148	0627	(善)	0628	(善)	國王不梨先泥十夢經	東晉 竺曇無蘭譯	1
	0180	0464	(景)	0465	(景)	過去世佛分衛經	西晉 竺法護譯	1
	0189	0661	(尺)	0662	(尺)	過去現在因果經	劉宋 求那跋陀羅譯	4
	0446a					過去莊嚴劫千佛名經	闕譯	1
	0446b	0400	(長)	0401	(長)	過去莊嚴劫千佛名經	失譯	1
	0035	0667	(壁)	0668	(壁)	海八德經	後秦 鳩摩羅什譯	1
	0397-p05					海慧菩薩品	北涼 曇無譯	1
	0598	0451	(景)	0452	(景)	佛說海龍王經	西晉 竺法護譯	4
	0400	0970	(似)	0971	(似)	佛說海意菩薩所問淨印法門經	宋 惟淨等譯	18
	1889					海印三昧論	新羅 明皛述	1
						海印昭如禪師語錄	(門人) 行純．道彰．從心 集	1
						憨山大師年譜		1
				1634	(黜-素)	憨山老人夢遊集	(侍者) 福善 日錄　(門人) 通炯 編輯	52
						憨休禪師敲空遺響		1
						憨休禪師語錄		1
						憨予暹禪師語錄		1
						寒松禪師語錄		1
						寒山詩		1
	1261	1441	(隸)	1442	(隸)	訶利帝母真言經	唐 不空譯	1
	0538	0714	(孝)	0715	(孝)	佛說呵雕阿那鋡經	東晉 竺曇無蘭譯	1
	0664	0126	(被)	0126	(被)	合部金光明經	隋 寶貴合	8
	1074					何耶揭唎婆觀世音菩薩受法壇		1
	1073					何耶揭唎婆像法		1
						何一禪師語錄		1
						鶴峰禪師語錄		1
	2611					黑谷上人語燈錄	日本 源空撰．了惠道光輯	15
	0583	0698	(敬)	0699	(敬)	佛說黑氏梵志經	吳 支謙譯	1
	0310-s31					恒河上優婆夷會	唐 菩提流志譯	1
	0033	0594	(善)	0595	(善)	恒水經	西晉 法炬譯	1
						恒水流樹經	失譯	1
						恒秀禪師語錄		1
						衡山禪師語錄		1
						橫川行珙禪師語錄	(門人) 本光 等編	2
	1251					吽迦陀野儀軌	唐 金剛智譯	3
	2001					宏智禪師廣錄	宋 集成等編	9
						弘戒法儀	明 法藏輯	2
				1643	(中庸)	弘覺忞禪師語錄	顯權等編	20
	2102	1471	(八縣)	1472	(千兵)	弘明集	梁 僧祐撰	14
	2067					弘贊法華傳	唐 惠詳撰	10
						虎丘紹隆禪師語錄	(參學) 嗣端 等編	1
						護法錄		1
	2114	1494	(旦)	1603	(野)	護法論	宋 張商英述	1
	0069	0923	(薄)	0924	(薄)	護國經	宋 法賢譯	1
	0310-s18					護國菩薩經	隋 闍那崛多譯	2
	0321	0867	(臨)	0868	(臨)	佛說護國尊者所問大乘經	宋 施護譯	4
	0748	0748	(當)	0749	(當)	佛說護淨經	失譯	1
	1139	0366	(罔)	0367	(罔)	護命法門神咒經	唐 菩提流志譯	1
	1901	1500	(桓)	1543	(俊)	護命放生軌儀法	唐 義淨撰	1
	1028A	0483	(行)	0484	(行)	佛說護諸童子陀羅尼經	元魏 菩提流支譯	1
	1359	0851	(命)	0852	(命)	佛說花積樓閣陀羅尼經	宋 施護譯	1
	1356	0332	(能)	0333	(能)	佛說華積陀羅尼神咒經	吳 支謙譯	1
	1358	0334	(能)	0335	(能)	佛說花聚陀羅尼咒經	失譯	1
	0657	0420	(欲)	0421	(欲)	佛說華手經	姚秦 鳩摩羅什譯	10
						華嚴懺儀		42
						華嚴經持驗記	清 周克復纂	1
						華嚴大意	明 善堅撰	1
						華嚴道場起止大略		1
	1878					華嚴發菩提心章	唐 法藏述	1
						註華嚴法界觀科文	唐 宗密述	1
						註華嚴法界觀科文	唐 宗豫述	1
	1884	1588	(迹)	1566	(沙)	註華嚴法界觀門	唐 宗密註	1
	1885	1648	(史)			註華嚴經題法界觀門頌	宋 本嵩述．琮湛註	2
	1883	1590	(百)	1522	(宅)	華嚴法界玄鏡	唐 澄觀述	2
						華嚴感應緣起傳	清 弘璧輯	1
	1879a					華嚴經關脈義記	唐 法藏撰	1
	1879b					華嚴關脈義記	唐 法藏述	1
						華嚴還源觀科	宋 淨源刊正	1
	1881					華嚴經金師子章註	唐 法藏撰．宋 承遷註	1
	1880	1594	(百)	1521	(宅)	金師子章雲間類解	唐 法藏撰．宋 淨源述	1
	0278	0083	(湯-垂)	0083	(湯-垂)	大方廣佛華嚴經	東晉 佛馱跋陀羅譯	60
	0279	0084	(拱-臣)	0084	(拱-臣)	大方廣佛華嚴經	唐 實叉難陀譯	80
						華嚴經寶雲品		1
	0300	0092	(壹)	0092	(壹)	大方廣佛華嚴經不思議佛境界分	唐 提雲般若譯	1
	1740					大方廣佛華嚴經中卷卷大意略敘	唐 李通玄造	1
						華嚴經感應略記	明 袾宏輯錄	1
	2074					大方廣佛華嚴經感應傳	唐 惠英撰．胡幽貞纂	1
						華嚴經綱目貫攝	清 永光錄集	1
						華嚴綱要	唐 澄觀疏義　明 德清提挈	80
						華嚴經海印道場懺儀	唐 一行慧覺依經錄　宋 普瑞補註　明 讀徹參閱　明 木增訂正　明 正止治定	42
						華嚴經海印道場九會請佛儀		1
						華嚴經合論簡要	明 李贄簡要	4
						注華嚴經合論纂要	明 方澤纂	3
						華嚴經會本大鈔		80
	1741					略釋新華嚴經修行次第決疑論	唐 李通玄撰	4
						華嚴經綸貫	宋 復[共/(電-雨)]述	1
						華嚴經論	後魏 靈辨造	1
	1739			1545	(乂-士)	新華嚴經論	唐 李通玄撰	40
	1737					大華嚴經略策	唐 澄觀述	1
	1732					大方廣佛華嚴經搜玄分齊通智方軌	唐 智儼述	5
						續華嚴經略疏刊定記	唐 慧苑述	15
	1872					華嚴策林	唐 法藏述	1
	1874	1584	(迹)	1519	(宅)	華嚴經明法品內立三寶章	唐 法藏述	2
	1870					華嚴經內章門等雜孔目章	唐 智儼集	4
						華嚴經普賢觀行法門	唐 法藏撰	1
	0293	0085	(伏-遐)	0085	(伏-遐)	大方廣佛華嚴經	唐 般若譯	40
						華嚴經普賢行願品疏科	宋 遵式治定	1
	1738					新譯華嚴經七處九會頌釋章	唐 澄觀述	1
						華嚴經清涼疏	唐 澄觀造	40
						華嚴經清涼疏科	唐 澄觀造	10
				1558	(用)	華嚴普賢行願品別行疏鈔會本	唐 澄觀別行疏、宗密隨疏鈔	10
	1020					大方廣佛花嚴經入法界品頓證毘盧遮那法身字輪瑜伽儀軌	唐 不空譯	1
	1019	1442	(隸)	1443	(隸)	大方廣佛華嚴經入法界品四十二字觀門	唐 不空譯	1
						華嚴經入法界品十八問答	唐 澄觀述	1
						華嚴經三十九品大意	清 永光敬錄	1
						華嚴經隨品贊	聖文神武睿孝皇帝禦制	10
	1736	1582	(沙-禹)	1557	(困-牧)	大方廣佛華嚴經隨疏演義鈔	唐 澄觀述	90
	1888			1546	(士)	解迷顯智成悲十明論	唐 李通玄撰	1
	1735	1581	(用-威)	1557	(困-牧)	大方廣佛華嚴經疏	唐 澄觀撰	60
		1631	(稷稅熟)	1555	(寧晉楚)	華嚴懸談會本	澄觀撰述	30
						華嚴經疏科文		10
						華嚴經疏論纂要	唐 澄觀疏　唐 李通玄論　唐 道沛纂要	120
						華嚴經疏注	唐 澄觀述　宋 淨源錄疏注經	120
	1733					華嚴經探玄記	唐 法藏述	20
						華嚴經談玄抉擇	遼 鮮演述	6
						華嚴經吞海集	宋 道通述	3
	1734					花嚴經文義綱目	唐 法藏撰	1
						華嚴經文義記	唐 靈祐集記	1
						華嚴經文義要決問答	新羅 表員集	4
	1873					華嚴經問答	唐 法藏撰	2
	1021					華嚴經心陀羅尼	唐 實叉難陀譯	1
						華嚴經行願品疏	唐 澄觀述	10
						華嚴經行願品疏科	唐 宗密撰集	1
	0306	0090	(壹)	0090	(壹)	大方廣佛花嚴經修慈分	唐 提雲般若等譯	1
	0295	0097	(壹)	0097	(壹)	大方廣佛華嚴經入法界品	唐 地婆訶羅譯	1
						華嚴經要解	宋 戒環集	1
	1875					華嚴經義海百門	唐 法藏述	1
	2128-j21~j23	1598	(弁)			新譯大方廣佛華嚴經音義		2
	1731					華嚴遊意	隋 吉藏撰	1
	1742					大方廣佛華嚴經願行觀門骨目	唐 湛然撰	2
	1871	1587	(迹)	1495	(勒)	華嚴經旨歸	唐 法藏述	1
	2073					華嚴經傳記	唐 法藏集	5
						華嚴法相槃節	宋 道通述	1
						華嚴鏡燈章	清 續法集	1
						華嚴念佛三昧論	清 彭際清述	1
						華嚴普賢行願修證儀	宋 淨源集	2
						華嚴清涼國師禮讚文	宋 智肱 述	1
						華嚴融會一乘義章明宗記	宋 師會述	1
						華嚴妄盡還源觀疏鈔補解	宋 淨源述	1
	1867					華嚴五教止觀	隋 杜順說	1
	1869					華嚴五十要問答	唐 智儼集	2
						華嚴心要法門註	唐 澄觀撰、宗密註	1
		1614	(鉅-庭)	1556	(更-魏)	華嚴懸談會玄記	元 普瑞集	40
	1890					華嚴一乘成佛妙義	新羅 見登之集	1
	1887A					華嚴一乘法界圖	新羅 義湘撰	1
	1866	1583	(迹)	1518	(宅)	華嚴一乘教義分齊章	唐 法藏述	4
						華嚴一乘教義分齊章焚薪	宋 師會錄	2
						華嚴一乘教義分齊章復古記	宋 師會述、善熹述	6
						華嚴一乘教義分齊章記	宋 師會、壽靈、凝然述	5
						華嚴一乘教義分齊章科	宋 師會述	1
						華嚴一乘教義分齊章義苑疏	宋 道亭述	10
						一乘決疑論	清 彭際清述	1
	1868					華嚴一乘十玄門	隋 杜順說　唐 智儼撰	1
	1877					華嚴遊心法界記	唐 法藏撰	1
	1886	1586	(迹)		(軍)	原人論	唐 宗密述	1
						華嚴原人論發微錄	宋 淨源述	3
		1625	(茲)	1560	(軍)	華嚴原人論解	元 圓覺述	3
						華嚴原人論合解	元 圓覺解　明 揚嘉祚刪合	2
	2177					華嚴宗章疏并因明錄	日本 圓超錄	1
						化珠保命真經		1
						淮海原肇禪師語錄	(侍者門人) 實仁．宗文．法奇．守愿．行佑．了元．善之．淨證．法從．紹熏．普璋．文煥．淨伏．慧行．文謙．正因．法恩．德紀．可能．持志．覺孫．惟康．宗和．如止．有智．慧雲．若舟 編	1
	1417					佛說壞相金剛陀羅尼經	元 沙囉巴譯	1
						環溪惟一禪師語錄	(參學) 覺此 編	2
						還初禪師語錄		1
	0891	1055	(思)	1056	(思)	佛說幻化網大瑜伽教十忿怒明王大明觀想儀軌經	宋 法賢譯	1
	1378a					佛說玄師[颱-台+(犮-乂+又)]陀所說神咒經	東晉 曇無蘭譯	1
	1378b	0474	(行)	0475	(行)	幻師[颱-台+(犮-乂+又)]陀神咒經	東晉 曇無蘭譯	1
	0324	0032	(衣)	0032	(衣)	佛說幻士仁賢經	西晉 竺法護譯	1
				1637	(史)	幻有傳禪師語錄	圓悟．圓修等編	10
						幻住庵清規	元 明本著	1
						幻住明禪師語錄		1
						皇明名僧輯略	明 袾宏輯	1
						黃檗複問		1
	1993					黃龍慧南禪師語錄	宋 惠泉集	1
	1993-t1					黃龍慧南禪師語錄續補	日本 東睃集	1
						暉洲和尚語錄		1
	0998					佛說迴向輪經	唐 尸羅達摩譯	1
	1631	1243	(逸)	1244	(逸)	迴諍論	龍樹菩薩造　後魏 毘目智仙共瞿曇流支譯	1
						慧覺禪師語錄		1
		1597	(郡秦并)			一切經音義		25
						慧林宗本禪師別錄	(嗣法) 慧辯 錄	1
	0345	0048	(推)	0048	(推)	慧上菩薩問大善權經	西晉 竺法護譯	2
	0632	0251	(才)	0252	(才)	佛說慧印三昧經	吳 支謙譯	1
	2057					大唐青龍寺三朝供奉大德行狀		1
	2168A					惠運禪師將來教法目錄	日本 惠運撰	1
	2168B					惠運律師書目錄	日本 惠運撰	1
						晦臺元鏡禪師語錄	(嗣法) 道盛 集	1
						晦岳禪師語錄		1
	1229	0961	(清)	0962	(清)	穢跡金剛禁百變法經	唐 阿質達霰譯	1
	1228	0960	(清)	0961	(清)	穢跡金剛說神通大滿陀羅尼法術靈要門	唐 阿質達霰譯	1
	0913					火[合*牛]供養儀軌	唐 善無畏	1
	0914					火吽軌別錄		1
	1637	1298	(星)	1299	(星)	集大乘相論	覺吉祥智菩薩造　宋 施護譯	2
	2104	1463	(壁)	1525	(曲)	集古今佛道論衡	唐 道宣撰	4
	1636	1290	(轉疑)	1291	(轉疑)	大乘集菩薩學論	法稱菩薩造　宋 法護等譯	25
	2108	1472	(縣)	1494	(勒)	集沙門不應拜俗等事	唐 彥悰纂錄	6
	2106	1476	(富)	1529	(微)	集神州三寶感通錄	唐 道宣撰	3
						集文字碑		1
	0382	0125	(化)	0125	(化)	集一切福德三昧經	姚秦 鳩摩羅什譯	3
	1638	1294	(星)	1295	(星)	集諸法寶最上義論	善寂菩薩造　宋 施護譯	2
	1982	1497	(桓)	1551	(寔)	集諸經禮懺儀	唐 智昇撰	2
						即非禪師全錄		
						即念禪師語錄		1
						即休契了禪師拾遺集	日本 及藏主 集錄	1
	0935					極樂願文	清 達喇嘛嘎卜楚薩木丹達爾吉譯	1
	0130	0931	(薄)	0932	(薄)	佛說給孤長者女得度因緣經	宋 施護譯	3
						濟顛道濟禪師語錄	宋 沈孟柈敘述	1
	0274	0247	(才)	0248	(才)	佛說濟諸方等學經	西晉 竺法護譯	1
						繼燈錄	明 元賢輯	6
						繼起禪師語錄		1
	2089-s03					繼業西域行程	宋 范成大撰	1
						繼作聖教序		1
						季總禪師語錄		1
						寂光禪師語錄		1
	1490	1083	(定)	1084	(定)	寂調音所問經	宋 法海譯	1
	0648	0517	(維)	0518	(維)	寂照神變三摩地經	唐 玄奘譯	1
	0022	0588	(善)	0589	(善)	寂志果經	東晉 竺曇無蘭譯	1
	2028	1363	(英)	1364	(英)	迦丁比丘說當來變經	失譯	1
	1278					迦樓羅及諸天密言經	唐 般若力譯	1
	0393	1322	(既)	1323	(既)	迦葉赴佛般涅槃經	東晉 竺曇無蘭譯	1
	2027	1355	(聚)	1356	(聚)	迦葉結經	後漢 安世高譯	1
	1469	1105	(初)	1106	(初)	佛說迦葉禁戒經	宋 沮渠京聲譯	1
	1691	0877	(臨)	0878	(臨)	迦葉仙人說醫女人經	宋 法賢譯	1
	1241					伽馱金剛真言		1
	0465	0234	(男)	0235	(男)	伽耶山頂經	元魏 菩提流支譯	1
	0467	0236	(男)	0237	(男)	大乘伽耶山頂經	唐 菩提流志譯	1
						嘉泰普燈錄	宋 正受編	33
	0574	0520	(維)	0521	(維)	佛說堅固女經	隋 那連提耶舍譯	1
	1286					堅牢地天儀軌	唐 善無畏譯	1
	0733	0726	(當)	0727	(當)	佛說堅意經	後漢 安世高譯	1
						御製揀魔辨異錄	清 世宗皇帝製	8
	0094	0580	(緣)	0581	(緣)	箭喻經	失譯	1
	0514	0243	(才)	0244	(才)	佛說諫王經	劉宋 沮渠京聲譯	1
						薦福承古禪師語錄	(門人) 文智 編	1
						劍關子益禪師語錄	(侍者) 善珙．德修．慧澄．銳彰．心寧．慧恭 編	1
	0285	0106	(率)	0106	(率)	漸備一切智德經	西晉 竺法護譯	5
						見如元謐禪師語錄	(門人) 道璞 集	1
						見聞錄	明 智旭隨筆	1
	0796	0711	(孝)	0712	(孝)	佛說見正經	東晉 竺曇無蘭譯	1
	0912					建立曼荼羅護摩儀軌	唐 法全傳	1
	0911					建立曼荼羅及揀擇地法	唐 慧琳集	1
						建中靖國續燈錄及目錄	宋 惟白集	33
						建州弘釋錄	明 元賢集	2
						健拏標訶一乘修行者秘密義記	唐 法藏述大香山隱士輯	1
	0506	0690	(敬)	0691	(敬)	犍陀國王經	後漢 安世高譯	1
	1683	1075	(言)	1076	(言)	揵稚梵[言*((夫*夫)/貝)]	宋 法賢譯	1
	1210					降三世忿怒明王念誦儀軌	唐 不空譯	1
						角虎集	清 濟能纂輯	2
	0759	0801	(則)	0802	(則)	佛說較量壽命經	宋 天息災譯	1
	0290	0875	(臨)	0876	(臨)	佛說較量一切佛剎功德經	宋 法賢譯	1
	0787	0291	(知)	0292	(知)	曼殊室利咒藏中校量數珠功德經	唐 義淨譯	1
	0788	0290	(知)	0291	(知)	佛說校量數珠功德經	唐 寶思惟譯	1
		1628	(穡-南)	1666	(辱近恥)	重訂教乘法數	明 圓[江-工+靜]集	30
						議中興教觀	宋 法登述	1
						教觀撮要論	宋	2
	1939					教觀綱宗	明 智旭述	1
						教觀綱宗釋義	明 智旭述	1
						教機時國鈔	日本 日蓮撰	1
	1897					教誡新學比丘行護律儀	唐 道宣述	1
						教外別傳	明 黎眉等編	16
						教行信證	日本 親鸞撰	6
						增修教苑清規	元 自慶編述	2
	0595	0800	(則)	0801	(則)	佛說嗟[革*蔑]曩法天子受三歸依獲免惡道經	宋 法天譯	1
	1433	1140	(婦)	1141	(婦)	羯磨	曹魏 曇諦譯	1
						羯磨經序解	宋 則安述	1
						羯磨儀式	清 書玉編	2
						解惑篇		
	0677	0152	(髮)	0152	(發)	佛說解節經	陳 真諦譯	1
	1620	1247	(逸)	1248	(逸)	解捲論	陳那菩薩造　陳 真諦譯	1
	0676	0242	(效)	0243	(效)	解深密經	唐 玄奘譯	5
						解深密經疏	唐 圓測撰	9
	1648	1285	(階納)	1286	(階納)	解脫道論	優波底沙造　梁 僧伽婆羅譯	12
	1460	1102	(初)	1103	(初)	解脫戒經	元魏 般若流支譯	1
	0063	0917	(深)	0918	(深)	解夏經	宋 法賢譯	1
	0804	0855	(命)	0856	(命)	佛說解憂經	宋 法天譯	1
	0116	0583	(緣)	0584	(緣)	佛說戒德香經	東晉 竺曇無蘭譯	1
	1497	0871	(臨)	0872	(臨)	佛說大乘戒經	宋 施護譯	1
						戒殺四十八問	清 周思仁述	1
	0117	0905	(興)	0906	(深)	佛說戒香經	宋 法賢譯	1
	1477	1107	(初)	1108	(初)	佛說戒消災經	吳 支謙譯	1
	1464	1124	(上)	1125	(上)	鼻奈耶	姚秦 竺佛念譯	10
						介庵禪師語錄		1
						介石智朋禪師語錄	(參學侍者) 正賢．宗坦．延輝．淨球．智瑾．志諶．祖誾 編	1
						介爲禪師語錄	正賢等編	1
	2019B					誡初心學人文	高麗 知訥撰	1
	0235	0010a	(羽)	0010a	(羽)	金剛般若波羅蜜經	後秦 鳩摩羅什譯	1
	0236a	0010b	(羽)	0010b	(羽)	金剛般若波羅蜜經	元魏 菩提流支譯	1
	0236b					金剛般若波羅蜜經	元魏 菩提流支譯	1
	0237	0010c	(羽)	0010c	(羽)	金剛般若波羅蜜經	陳 真諦譯	1
						金剛般若波羅蜜經講義	江妙煦著	5
	1511	1161	(受)	1162	(受)	金剛般若波羅蜜經論	天親菩薩造　元魏 菩提流支譯	3
	1510a					金剛般若論	無著菩薩造　隋 達磨笈多譯	2
	1510b	1160	(受)	1161	(受)	金剛般若波羅蜜經論	無著菩薩造　隋 達磨笈多譯	3
	1515	1184	(弗)	1185	(弗)	金剛般若波羅蜜經破取著不壞假名論	功德施菩薩造　唐 地婆訶羅等譯	2
	1698	1542	(會)	1497	(勒)	金剛般若經疏	隋 智顗說	1
	2733					御注金剛般若波羅蜜經宣演	唐 道氤撰	2
						金剛般若波羅蜜經御注並序		1
	1703	1607	(主)	1619	(務)	金剛般若波羅蜜經註解	明 宗[江-工+防]．如[王*巳]同註	1
						金剛般若經集驗記	唐 孟獻忠撰	3
	1816					金剛般若論會釋	唐 窺基撰	3
	1932	1575	(起)	1554	(寔)	金剛錍	唐 湛然述	1
						金剛錍科	宋 淨岳科	1
						金剛錍科	宋 智圓集	1
						金剛錍論私記	唐 明曠記　日本 辯才會	2
						金剛錍論釋文	宋 時舉釋　明 海眼會	3
						金剛錍論義	宋 可觀述	1
						金剛錍論義解	宋 善月述	1
						金剛錍顯性錄	宋 智圓集	4
						金剛不空真實三昧耶經		1
	1416	0995	(斯)	0996	(斯)	金剛摧碎陀羅尼	宋 慈賢譯	1
	1345	0367	(罔)	0368	(罔)	金剛場陀羅尼經	隋 闍那崛多譯	1
	0886	0938	(夙)	0939	(夙)	佛說金剛場莊嚴般若波羅蜜多教中一分	宋 施護譯	1
	1172	1438	(隸)	1439	(隸)	金剛頂超勝三界經說文殊五字真言勝相	唐 不空譯	1
	1040					金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品	唐 不空譯	1
	1798					金剛頂經大瑜伽祕密心地法門義訣	唐 不空撰	1
	0931	1423	(鍾)	1424	(鍾)	金剛頂經觀自在王如來修行法	唐 不空譯	1
	1173	0532	(念)	0533	(念)	金剛頂經曼殊室利菩薩五字心陀羅尼品	唐 金剛智譯	1
	0877					金剛頂經毘盧遮那一百八尊法身契印	唐 善無畏．一行譯	1
	0874	1347	(亦)	1348	(亦)	金剛頂一切如來真實攝大乘現證大教王經	唐 不空譯	2
	0958					金剛頂經一字頂輪王儀軌音義	唐 不空譯	1
	0957					金剛頂一字頂輪王瑜伽一切時處念誦成佛儀軌	唐 不空譯	1
	0932	1422	(鍾)	1423	(鍾)	金剛頂經瑜伽觀自在王如來修行法	唐 金剛智譯	1
	1171	1439	(隸)	1440	(隸)	金剛頂經瑜伽文殊師利菩薩法	唐 不空譯	1
	0873	1428	(鍾)	1429	(鍾)	金剛頂蓮華部心念誦儀軌	唐 不空譯	1
						金剛頂菩提心論略記	唐 遍滿撰	1
	1121					金剛頂普賢瑜伽大教王經大樂不空金剛薩埵一切時方成就儀		1
	1120A					金剛頂勝初瑜伽經中略出大樂金剛薩埵念誦儀	唐 不空譯	1
	1123	1402	(槁)	1403	(槁)	金剛頂勝初瑜伽普賢菩薩念誦法	唐 不空譯	1
	0865	1014	(流)	1015	(流)	金剛頂一切如來真實攝大乘現證大教王經	唐 不空譯	3
	0908	1435	(隸)	1436	(隸)	金剛頂瑜伽護摩儀軌	唐 不空譯	1
	0909					金剛頂瑜伽護摩儀軌	唐 不空譯	1
	1209	1381	(杜)	1382	(杜)	金剛頂瑜伽降三世成就極深密門	唐 不空譯	1
	1125	1392,1403	(杜,槁)	1393,1404	(杜,槁)	金剛頂瑜伽金剛薩埵五祕密修行念誦儀軌	唐 不空譯	1
	0869	1440	(隸)	1441	(隸)	金剛頂經瑜伽十八會指歸	唐 不空譯	1
	1175	1420	(鍾)	1421	(鍾)	金剛頂經瑜伽文殊師利菩薩供養儀軌	唐 不空譯	1
	0241	1027	(澄)	1028	(澄)	金剛頂瑜伽理趣般若經	唐 金剛智譯	1
	0871					金剛頂瑜伽略述三十七尊心要	唐 不空說	1
	1155					金剛頂瑜伽最勝祕密成佛隨求即得神變加持成就陀羅尼儀軌	唐 不空譯	1
	0789	1030	(澄)	1031	(澄)	金剛頂瑜伽念珠經	唐 不空譯	1
	1056	1375	(英)	1376	(英)	金剛頂瑜伽千手千眼觀自在菩薩修行儀軌經	唐 不空譯	2
	1112					金剛頂瑜伽青頸大悲王觀自在念誦儀軌	唐 金剛智譯	1
	0872					金剛頂瑜伽三十七尊出生義	唐 不空譯	1
	0878					金剛頂經金剛界大道場毘盧遮那如來自受用身內證智眷屬法身異名佛最上乘祕密三摩地禮懺文	唐 不空譯	1
	1122	1382	(杜)	1383	(杜)	金剛頂瑜伽他化自在天理趣會普賢修行念誦儀軌	唐 不空譯	1
	0876	1419	(鍾)	1420	(鍾)	金剛頂瑜伽修習毘盧遮那三摩地法	唐 金剛智譯	1
	1665	1311	(通)	1312	(通)	金剛頂瑜伽中發阿耨多羅三藐三菩提心論	唐 不空譯	1
	0866	0529	(念)	0530	(念)	金剛頂瑜伽中略出念誦經	唐 金剛智譯	4
	0867	1033	(取)	1034	(取)	金剛峰樓閣一切瑜伽瑜祇經	唐 金剛智譯	2
	1027a					金剛光焰止風雨陀羅尼經	唐 菩提流志譯	1
	1027b	0524	(維)	0525	(維)	金剛光焰止風雨陀羅尼經	唐 菩提流志譯	1
						金剛乩釋	清 溥仁乩釋　子真乩訂	1
	1130	0082	(殷)	0082	(殷)	大乘金剛髻珠菩薩修行分	唐 菩提流志譯	1
	2081-j2					金剛界大教王師資相承傳法次第記	唐 海雲集	1
						金剛經筆記	明 如觀註	1
						金剛經[鎞-囟+(奐-大)]	明 廣伸述	2
						金剛經補註	明 韓巖集解　程衷懋補註	2
						金剛經部旨	清 靈耀撰	2
						金剛經采微	宋 曇應述	2
						金剛經采微科	宋 曇應排	1
						金剛經采微餘釋	宋 曇應述	1
						金剛經持驗記	清 周克復纂	2
						金剛經大意	清 王起隆述	1
						金剛經訂義	清 俞樾著	1
						金剛經法眼註疏	清 性起述	2
						金剛經法眼懸判疏鈔	清 性起述	9
						金剛經感應分類輯要	清 王澤泩編集	1
						金剛經感應傳		1
						金剛經觀心釋	明 智旭述	1
						金剛經會解	宋 善月述	2
						金剛經會解了義	清 徐昌治纂	1
						金剛經彙纂	清 孫念劬纂	2
						金剛經集解	宋 楊圭編	4
						金剛經偈	清 通理會	1
						金剛經偈釋	明 曾鳳儀釋	2
						金剛經解義	唐 慧能解義	2
						金剛經解義	清 徐槐廷述	2
						金剛經鳩異	唐 段成式撰	1
						金剛經決疑	明 德清撰	1
						金剛經科儀	清 建基錄	1
						銷釋金剛經科儀會要註解	宋 宗鏡述　明 覺連重集	9
						金剛經靈驗傳	日本 淨慧集	3
	1704					金剛般若波羅蜜經略疏	唐 智儼述	2
