!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	1546	1256	(都-京)	1257	(都-京)	阿毘曇毘婆沙論	迦旃延子造　五百羅漢釋　北涼 浮陀跋摩共道泰等譯	60
	1557	1338	(墳)	1339	(墳)	阿毘曇五法行經	後漢 安世高譯	1
	1550	1280	(瑟)	1281	(瑟)	阿毘曇心論	尊者法勝造　晉 僧迦提婆共慧遠等譯	4
	0141	0637	(慶)	0638	(慶)	佛說阿遫達經	劉宋 求那跋陀羅譯	1
	0266	0146	(蓋)	0146	(蓋)	佛說阿惟越致遮經	西晉 竺法護譯	3
	2043	1335	(墳)	1336	(墳)	阿育王經	梁 僧伽婆羅譯	10
	2044	1336	(墳)	1337	(墳)	天尊說阿育王譬喻經	失譯	1
	2045	1359	(群)	1360	(群)	阿育王息壞目因緣經	符秦 曇摩難提譯	1
	2042	1451	(漆)	1452	(漆)	阿育王傳	西晉 安法欽譯	7
						阿字禪師語錄	清 今辨重編	2
	1239					阿吒薄俱元帥大將上佛陀羅尼經修行儀軌	唐 善無畏譯	3
	1240					阿吒薄[牛*句]付囑咒		1
	1237	0469	(行)	0470	(行)	阿吒婆拘鬼神大將上佛陀羅尼神咒經	失譯	1
	1238					阿吒婆[牛*句]鬼神大將上佛陀羅尼經	失譯	1
	0862					阿闍梨大曼荼[打-丁+羅]灌頂儀軌		1
	0626	0169	(帷)	0170	(帷)	佛說阿闍世王經	後漢 支婁迦讖譯	2
	0337	0039	(衣)	0039	(衣)	佛說阿闍貰王女阿術達菩薩經	西晉 竺法護譯	1
	0509	0267	(良)	0268	(良)	阿闍世王授決經	西晉 法炬譯	1
	0508	0708	(敬)	0709	(敬)	阿闍世王問五逆經	西晉 法炬譯	1
	0310-s37					阿闍世子會	唐 菩提流志譯	1
	1394	0473	(行)	0474	(行)	佛說安宅神咒經	失譯	1
	1029					佛說安宅陀羅尼咒經		1
	1958					安樂集	唐 道綽撰	2
	1957					略論安樂淨土義	後魏 曇鸞撰	1
						[打-丁+音]黑豆集	清 心圓拈別　火蓮集梓	8
	0429	0405	(信)	0406	(信)	佛說八部佛名經	元魏 瞿曇般若流支譯	1
	1684	1065	(言)	1066	(言)	八大靈塔梵讚	西天戒日王製　宋 法賢譯	1
	1685	0892	(臨)	0893	(臨)	佛說八大靈塔名號經	宋 法賢譯	1
	1168A	0874	(臨)	0875	(臨)	佛說大乘八大曼拏羅經	宋 法賢譯	1
	0490	0991	(斯)	0992	(斯)	佛說八大菩薩經	宋 法賢譯	1
	1167	0975	(斯)	0976	(斯)	八大菩薩曼荼羅經	唐 不空譯	1
	0779	0507	(維)	0508	(維)	佛說八大人覺經	後漢 安世高譯	1
						八大人覺經略解	明 智旭解	1
				1662	(植)	八大人覺經疏	清 續法集	1
