!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
知03	0431	0297	(知)	0298	(知)	八佛名號經	隋 闍那崛多譯	1
敬09	0089	0696	(敬)	0697	(敬)	八關齋經	劉宋 沮渠京聲譯	1
知03	0430	0296	(知)	0297	(知)	八吉祥經	梁 僧伽婆羅譯	1
知03	0427	0294	(知)	0295	(知)	佛說八吉祥神咒經	吳 支謙譯	1
行04	1365	0486	(行)	0487	(行)	八名普密陀羅尼經	唐 玄奘譯	1
敬10	0581	0705	(敬)	0706	(敬)	佛說八師經	吳 支謙譯	1
敦02	1865	1638	(敦)	1628	(藝)	八識規矩補註	明 普泰補註	2
孝09	0756	0723	(孝)	0724	(孝)	佛說八無暇有暇經	唐 義淨譯	1
知03	0428	0295	(知)	0296	(知)	佛說八陽神咒經	西晉 竺法護譯	1
慶10	0112	0654	(慶)	0655	(慶)	佛說八正道經	後漢 安世高譯	1
凊01	1498	0963	(清)	0964	(清)	佛說八種長養功德經	宋 法護等譯	1
行06	1396	0494	(行)	0495	(行)	佛說拔除罪障咒王經	唐 義淨譯	1
行04	1395	0485	(行)	0486	(行)	拔濟苦難陀羅尼經	唐 玄奘譯	1
罪06	0419	0072	(罪)	0072	(罪)	拔陂菩薩經	失譯	1
	0368	0196	(盧)	0197	(貞)	拔一切業障根本得生淨土神咒	劉宋 求那跋陀羅重譯	1
	0368-t1	0196-t1	(盧)	0197-t1	(貞)	附阿彌陀經不思議神力傳		1
	0010	0946	(夙)	0947	(夙)	白衣金幢二婆羅門緣起經	宋 施護等譯	3
敦03	1614	1205	(沛)	1206	(沛)	大乘百法明門論	天親菩薩造　唐 玄奘譯	1
信02	0444	0406	(信)	0407	(信)	佛說百佛名經	隋 那連提耶舍譯	1
良04	0661	0259	(良)	0260	(良)	大乘百福相經	唐 地婆訶羅譯	1
良04	0662	0260	(良)	0261	(良)	大乘百福莊嚴相經	唐 地婆訶羅譯	1
造09	1569	1180	(造)	1181	(造)	百論	提婆菩薩造　婆藪開士釋　姚秦 鳩摩羅什譯	2
行07	1369b	0498	(行)	0499	(行)	百千印陀羅尼經	唐 實叉難陀譯	1
群02	0209	1356	(群)	1357	(群)	百喻經	僧伽斯那撰　蕭齊 求那毘地譯	4
逸04	1572	1246	(逸)	1247	(逸)	百字論	提婆菩薩造　後魏 菩提流支譯	1
